Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Pos,Pos_encoded
70.0,198.0,4.54,35.24,16.0,117.91,7.07,4.01,CB_1376,0
74.0,205.0,4.6,33.61,14.0,122.99,6.84,4.14,S_2987,7
77.0,310.0,5.26,29.5,26.0,99.85,7.74,4.81,OL_1886,4
70.0,190.0,4.5,35.62,11.0,121.83,7.09,4.21,CB_1333,0
76.0,265.0,4.72,30.86,22.0,115.29,7.01,4.48,TE_586,8
76.0,305.0,5.41,25.63,21.0,102.42,7.85,4.83,OL_333,4
73.0,195.0,4.61,36.61,12.0,125.13,6.78,4.26,WR_430,9
76.0,292.0,4.99,32.4,22.0,104.77,7.79,4.61,DL_80,1
70.0,210.0,4.45,34.33,17.0,118.45,6.96,4.14,RB_2202,6
75.0,242.0,4.63,34.56,24.0,118.91,7.29,4.39,LB_748,3
76.0,255.0,4.89,35.25,18.0,109.72,7.28,4.31,TE_761,8
74.0,249.0,4.7,35.84,23.0,114.89,7.34,4.4,FB_2613,2
74.0,270.0,5.07,32.92,24.0,110.62,7.81,4.52,DL_1993,1
75.0,211.0,4.91,34.14,18.0,105.8,7.04,4.39,QB_2190,5
71.0,199.0,4.52,35.69,11.0,117.74,6.8,4.09,WR_1536,9
73.0,212.0,4.53,35.25,13.0,118.49,6.86,4.14,S_2964,7
74.0,212.0,4.52,34.79,14.0,118.36,7.03,4.16,WR_1247,9
70.0,203.0,4.61,32.49,16.0,118.28,7.08,4.28,RB_2082,6
77.0,259.0,4.82,35.91,24.0,116.24,7.15,4.34,TE_351,8
75.0,255.0,4.83,33.08,21.0,113.22,7.16,4.46,TE_1983,8
74.0,223.0,4.96,32.12,21.0,109.48,7.25,4.49,QB_2622,5
72.0,191.0,4.53,36.0,16.0,121.43,6.76,4.29,CB_1236,0
76.0,285.0,4.92,31.0,29.0,113.77,7.65,4.68,DL_1368,1
73.0,248.0,4.7,34.34,24.0,114.79,7.29,4.38,LB_1191,3
75.0,244.0,4.78,34.11,23.0,119.42,7.37,4.18,LB_822,3
72.0,216.0,4.53,35.31,17.0,119.5,7.21,4.34,S_879,7
77.0,272.0,5.06,33.29,29.0,115.42,7.49,4.61,DL_2498,1
76.0,246.0,4.79,31.33,21.0,116.04,7.22,4.28,TE_420,8
74.0,253.0,4.66,33.83,20.0,115.64,7.28,4.33,FB_1101,2
78.0,319.0,5.24,28.93,21.0,96.92,7.91,4.64,OL_2893,4
71.0,209.0,4.5,35.28,21.0,120.46,7.12,4.41,RB_1462,6
72.0,187.0,4.5,33.98,17.0,123.34,6.99,4.13,WR_1230,9
73.0,246.0,4.64,34.9,20.0,116.62,7.56,4.51,FB_2986,2
71.0,201.0,4.52,38.39,12.0,120.86,7.07,4.12,CB_607,0
72.0,188.0,4.52,37.11,12.0,116.65,6.88,4.11,WR_1979,9
76.0,292.0,4.84,31.56,23.0,112.51,7.35,4.44,DL_1133,1
71.0,184.0,4.45,35.63,13.0,121.13,7.05,4.29,CB_2741,0
70.0,192.0,4.49,36.68,13.0,119.27,6.91,4.15,CB_147,0
75.0,242.0,4.77,35.88,25.0,112.78,6.93,4.27,LB_2745,3
78.0,259.0,4.74,33.64,20.0,110.96,7.25,4.39,TE_1115,8
74.0,239.0,4.64,36.76,25.0,120.91,7.1,4.2,LB_2384,3
78.0,265.0,4.81,34.34,24.0,120.26,7.17,4.42,TE_154,8
74.0,235.0,4.77,33.92,21.0,117.89,6.96,4.35,LB_1407,3
73.0,204.0,4.56,35.04,16.0,120.04,6.89,4.23,S_1561,7
76.0,310.0,5.09,31.75,30.0,109.12,7.68,4.45,DL_1362,1
76.0,246.0,4.73,30.69,19.0,109.35,7.04,4.33,TE_1343,8
74.0,242.0,4.77,34.98,20.0,114.23,7.14,4.4,FB_757,2
72.0,202.0,4.6,33.37,13.0,116.84,7.16,4.21,S_2615,7
75.0,269.0,4.86,33.75,30.0,103.16,7.47,4.66,DL_1907,1
71.0,188.0,4.43,38.14,11.0,115.26,6.93,4.09,WR_531,9
73.0,246.0,4.73,30.36,19.0,117.29,7.37,4.41,FB_309,2
71.0,206.0,4.47,32.79,18.0,125.45,6.94,4.29,S_2789,7
72.0,195.0,4.51,37.0,16.0,118.55,7.11,4.26,CB_1076,0
75.0,228.0,4.75,30.16,20.0,107.81,7.18,4.26,QB_1090,5
71.0,242.0,4.63,33.92,19.0,111.68,7.32,4.37,FB_1574,2
75.0,269.0,4.83,30.91,22.0,116.63,7.6,4.51,DL_2569,1
73.0,209.0,4.61,35.97,19.0,117.52,7.13,4.13,S_2891,7
73.0,202.0,4.5,36.14,16.0,119.94,7.12,4.31,S_1838,7
76.0,322.0,5.29,30.58,21.0,102.91,8.06,4.78,OL_553,4
75.0,285.0,4.84,34.6,21.0,109.76,7.24,4.72,DL_1638,1
74.0,274.0,5.0,31.24,28.0,104.75,7.35,4.53,DL_295,1
75.0,248.0,4.78,34.96,25.0,120.68,7.2,4.31,LB_2877,3
74.0,239.0,4.74,35.66,19.0,118.28,7.16,4.29,LB_2983,3
73.0,200.0,4.63,35.75,14.0,121.03,6.89,4.18,S_2411,7
72.0,205.0,4.63,32.7,20.0,119.51,7.06,4.23,S_163,7
73.0,249.0,4.59,33.53,24.0,120.77,7.1,4.16,LB_2154,3
76.0,306.0,4.94,31.25,24.0,104.26,7.38,4.36,DL_701,1
76.0,323.0,5.25,25.89,28.0,99.12,7.84,4.94,OL_1668,4
71.0,201.0,4.65,37.79,16.0,117.42,6.9,4.2,S_244,7
72.0,208.0,4.54,36.85,19.0,121.32,7.19,4.13,S_1858,7
71.0,197.0,4.45,33.39,18.0,124.6,6.84,4.29,CB_1962,0
72.0,237.0,4.73,35.8,25.0,122.35,7.32,4.39,LB_218,3
74.0,226.0,4.67,29.66,23.0,111.51,7.0,4.45,QB_2288,5
74.0,245.0,4.68,36.6,19.0,110.85,7.12,4.44,LB_2214,3
78.0,306.0,5.25,28.11,23.0,96.76,7.6,4.64,OL_581,4
74.0,241.0,4.76,32.56,25.0,113.34,7.48,4.4,FB_603,2
76.0,298.0,5.09,29.55,23.0,105.14,7.54,4.54,DL_1377,1
77.0,312.0,5.37,29.18,22.0,107.13,7.82,4.73,OL_1540,4
70.0,194.0,4.51,36.19,16.0,124.04,6.97,4.21,CB_2977,0
77.0,254.0,4.74,33.87,22.0,113.12,7.1,4.28,TE_1129,8
69.0,212.0,4.56,31.71,17.0,116.06,6.88,4.41,RB_2706,6
72.0,208.0,4.64,32.13,17.0,121.78,6.98,4.27,RB_2954,6
74.0,245.0,4.73,32.79,21.0,114.08,7.16,4.35,LB_539,3
76.0,220.0,4.77,31.19,20.0,111.7,7.37,4.35,QB_664,5
75.0,233.0,4.91,33.91,23.0,107.76,7.35,4.23,QB_568,5
74.0,234.0,4.84,33.22,21.0,116.01,7.2,4.24,FB_1983,2
76.0,309.0,5.25,27.04,25.0,98.53,8.11,4.61,OL_1428,4
77.0,278.0,5.15,33.15,22.0,108.78,7.67,4.48,DL_2726,1
71.0,226.0,4.55,36.15,17.0,116.38,7.21,4.36,RB_1182,6
77.0,277.0,5.1,31.22,22.0,114.36,7.34,4.52,DL_702,1
72.0,202.0,4.64,38.23,18.0,125.8,6.83,4.19,S_415,7
70.0,196.0,4.54,34.35,15.0,125.6,6.82,4.14,CB_155,0
72.0,241.0,4.76,33.57,22.0,115.68,7.37,4.33,LB_580,3
74.0,247.0,4.6,36.21,27.0,121.36,7.13,4.33,LB_2169,3
75.0,214.0,4.55,37.28,15.0,118.04,7.05,4.26,WR_420,9
72.0,245.0,4.77,35.98,20.0,114.7,7.11,4.41,LB_251,3
73.0,205.0,4.64,33.8,18.0,121.19,7.1,4.26,S_693,7
75.0,254.0,4.74,32.91,19.0,115.12,7.15,4.29,TE_972,8
72.0,200.0,4.58,32.73,14.0,123.79,7.09,4.09,S_1181,7
78.0,259.0,4.77,32.14,17.0,112.41,7.18,4.21,TE_2490,8
77.0,263.0,4.85,34.03,22.0,119.89,6.96,4.24,TE_145,8
74.0,236.0,4.73,31.73,23.0,112.76,7.46,4.49,FB_2433,2
73.0,212.0,4.43,35.95,15.0,123.74,7.05,4.21,WR_1791,9
69.0,213.0,4.62,36.94,17.0,115.99,6.99,4.31,RB_2772,6
72.0,211.0,4.43,34.05,14.0,121.25,7.1,4.08,WR_2747,9
73.0,243.0,4.81,32.77,24.0,117.7,7.0,4.37,LB_2326,3
73.0,204.0,4.57,34.4,17.0,117.6,7.14,4.26,S_431,7
74.0,239.0,4.73,32.19,22.0,112.14,7.21,4.27,LB_431,3
75.0,253.0,4.7,31.37,19.0,113.11,7.32,4.41,TE_1769,8
74.0,246.0,4.8,35.02,20.0,117.34,7.17,4.15,LB_2533,3
75.0,245.0,4.74,37.27,22.0,122.01,7.02,4.23,LB_2458,3
75.0,270.0,4.88,33.5,24.0,110.68,7.43,4.42,DL_1187,1
71.0,250.0,4.76,30.92,23.0,113.21,7.12,4.28,FB_236,2
76.0,214.0,5.0,33.41,21.0,109.81,7.17,4.26,QB_1292,5
76.0,264.0,4.87,32.62,19.0,114.01,7.05,4.47,TE_2213,8
74.0,233.0,4.8,33.3,21.0,114.16,7.26,4.28,LB_506,3
76.0,213.0,4.85,32.95,19.0,113.05,6.92,4.33,QB_2113,5
75.0,281.0,4.98,30.32,24.0,109.24,7.29,4.46,DL_780,1
74.0,285.0,4.95,30.83,26.0,116.92,7.81,4.4,DL_1083,1
73.0,217.0,4.54,36.84,18.0,118.61,7.1,4.08,S_2895,7
74.0,292.0,5.13,31.56,21.0,107.25,7.69,4.4,DL_1007,1
75.0,277.0,5.0,33.18,24.0,116.65,7.38,4.54,DL_1691,1
72.0,251.0,4.84,32.29,21.0,110.43,7.38,4.42,FB_94,2
74.0,218.0,4.69,28.89,21.0,103.9,7.01,4.29,QB_2180,5
71.0,190.0,4.44,36.37,14.0,119.41,6.76,4.02,CB_627,0
71.0,225.0,4.58,35.24,16.0,121.21,6.89,4.26,RB_835,6
72.0,236.0,4.79,35.43,23.0,116.24,6.99,4.41,LB_1331,3
75.0,226.0,4.88,30.81,17.0,112.11,7.19,4.2,QB_467,5
76.0,227.0,4.8,31.64,21.0,112.27,7.28,4.36,QB_2829,5
74.0,241.0,4.68,35.02,25.0,113.55,7.35,4.21,LB_2542,3
72.0,237.0,4.83,32.28,26.0,116.45,7.43,4.45,FB_1613,2
76.0,219.0,4.87,30.85,22.0,115.23,7.03,4.2,QB_996,5
76.0,251.0,4.76,34.5,23.0,108.51,7.3,4.33,TE_2900,8
72.0,206.0,4.47,33.64,12.0,122.66,7.02,4.2,WR_1873,9
71.0,191.0,4.48,35.59,18.0,120.59,6.81,4.15,WR_2226,9
72.0,200.0,4.55,37.17,20.0,119.49,7.06,4.26,S_806,7
75.0,261.0,4.66,34.48,25.0,117.45,7.42,4.38,TE_556,8
76.0,316.0,5.2,28.25,27.0,102.64,7.63,4.88,OL_1568,4
71.0,201.0,4.53,34.35,20.0,114.57,7.2,4.37,RB_508,6
78.0,306.0,5.37,25.35,25.0,102.26,8.1,4.91,OL_2835,4
74.0,279.0,4.89,30.32,30.0,107.21,7.77,4.58,DL_785,1
74.0,237.0,4.77,33.88,20.0,118.12,7.31,4.47,FB_2858,2
75.0,232.0,4.68,28.86,16.0,109.7,7.36,4.47,QB_2588,5
72.0,237.0,4.85,34.82,25.0,118.44,7.04,4.25,FB_1268,2
71.0,228.0,4.56,35.52,17.0,117.41,6.86,4.34,RB_2845,6
74.0,209.0,4.54,35.54,16.0,115.78,7.02,4.17,WR_2477,9
72.0,214.0,4.46,33.1,12.0,122.87,6.81,4.25,WR_199,9
74.0,246.0,4.85,31.9,27.0,116.41,7.18,4.38,FB_1882,2
72.0,227.0,4.49,34.91,19.0,118.65,6.95,4.24,RB_1846,6
71.0,213.0,4.53,34.96,18.0,114.81,7.2,4.16,RB_1986,6
75.0,219.0,4.78,32.09,22.0,108.7,7.27,4.44,QB_2400,5
74.0,203.0,4.46,37.18,18.0,122.71,7.15,4.13,WR_1570,9
76.0,276.0,5.06,27.65,31.0,117.4,7.83,4.41,DL_2263,1
75.0,297.0,4.83,33.31,23.0,103.06,7.54,4.73,DL_2857,1
72.0,202.0,4.52,35.45,17.0,118.19,6.89,4.36,WR_2823,9
75.0,257.0,4.75,31.88,19.0,120.79,7.36,4.25,TE_318,8
72.0,189.0,4.49,36.33,14.0,120.3,7.11,4.28,WR_1507,9
71.0,196.0,4.57,35.51,15.0,123.88,6.95,4.3,CB_2848,0
77.0,310.0,5.39,30.57,28.0,102.67,8.12,4.72,OL_1843,4
71.0,242.0,4.82,35.22,26.0,112.15,7.14,4.55,FB_1648,2
73.0,244.0,4.81,34.53,21.0,110.85,7.42,4.46,FB_2985,2
71.0,201.0,4.48,34.22,15.0,119.23,6.97,4.01,CB_1049,0
71.0,188.0,4.49,36.91,12.0,122.32,6.77,4.33,WR_1100,9
71.0,187.0,4.41,34.92,14.0,124.01,7.06,4.22,CB_2857,0
73.0,201.0,4.46,36.29,14.0,124.87,7.15,4.14,WR_1014,9
76.0,259.0,4.9,32.65,21.0,114.44,7.3,4.28,TE_1740,8
72.0,200.0,4.55,33.09,14.0,123.65,6.87,4.31,S_1095,7
74.0,236.0,4.79,34.36,20.0,119.28,6.95,4.22,LB_2209,3
74.0,309.0,4.96,31.4,25.0,109.05,7.41,4.67,DL_841,1
72.0,237.0,4.73,30.2,19.0,117.37,7.57,4.48,FB_1273,2
75.0,222.0,4.94,29.77,16.0,112.1,7.25,4.16,QB_1373,5
74.0,249.0,4.71,36.47,19.0,116.07,7.29,4.29,LB_2267,3
70.0,208.0,4.58,35.7,20.0,119.39,7.03,4.39,RB_2227,6
72.0,254.0,4.73,34.12,19.0,115.8,7.16,4.45,FB_1302,2
76.0,222.0,4.93,32.3,22.0,111.63,6.92,4.2,QB_579,5
74.0,289.0,4.92,29.27,24.0,116.89,7.43,4.65,DL_2123,1
71.0,204.0,4.61,33.36,21.0,122.2,6.94,4.1,S_2893,7
75.0,279.0,5.12,30.87,24.0,110.4,7.47,4.49,DL_2928,1
71.0,192.0,4.49,35.53,17.0,119.8,6.97,4.14,CB_1023,0
75.0,293.0,4.79,30.87,26.0,113.31,7.18,4.44,DL_2737,1
72.0,245.0,4.73,33.02,25.0,113.0,7.52,4.42,FB_367,2
77.0,245.0,4.69,32.49,20.0,114.4,7.11,4.26,TE_2741,8
77.0,315.0,5.12,27.77,26.0,97.73,7.73,4.82,OL_548,4
71.0,206.0,4.58,36.07,18.0,119.42,6.97,4.26,RB_283,6
72.0,201.0,4.6,35.27,13.0,116.52,6.96,4.22,S_615,7
74.0,222.0,4.97,30.78,21.0,105.92,7.27,4.35,QB_2662,5
74.0,240.0,4.71,33.39,19.0,116.79,7.14,4.33,LB_2277,3
73.0,201.0,4.46,37.54,16.0,116.43,7.09,4.15,WR_2051,9
71.0,193.0,4.47,35.56,17.0,119.94,6.86,4.19,CB_355,0
72.0,213.0,4.58,34.62,21.0,116.57,6.97,4.22,S_1486,7
75.0,283.0,5.09,34.43,25.0,105.18,7.55,4.41,DL_1536,1
76.0,310.0,4.91,28.22,26.0,103.42,7.56,4.55,DL_674,1
77.0,316.0,5.26,29.11,29.0,102.41,7.91,4.73,OL_2697,4
76.0,226.0,4.79,29.85,22.0,108.66,7.03,4.38,QB_1565,5
73.0,206.0,4.65,38.04,17.0,122.04,7.19,4.24,S_1380,7
73.0,214.0,4.59,33.72,12.0,115.37,6.86,4.27,WR_1295,9
74.0,253.0,4.67,34.34,19.0,112.05,7.52,4.31,FB_1681,2
75.0,205.0,4.44,37.67,18.0,120.94,6.86,4.15,WR_992,9
72.0,252.0,4.79,31.91,22.0,110.94,7.22,4.27,FB_2670,2
71.0,207.0,4.5,34.79,21.0,118.61,7.0,4.23,RB_2837,6
76.0,260.0,4.87,30.67,21.0,112.93,7.19,4.36,TE_1236,8
75.0,224.0,4.99,33.07,22.0,105.71,7.15,4.28,QB_1825,5
75.0,247.0,4.64,31.2,26.0,113.6,7.11,4.39,LB_280,3
76.0,225.0,4.97,32.73,22.0,115.26,7.18,4.46,QB_1377,5
72.0,201.0,4.54,35.95,17.0,118.18,6.89,4.28,WR_1274,9
71.0,210.0,4.58,34.87,17.0,117.25,6.97,4.2,RB_2161,6
73.0,247.0,4.88,32.72,25.0,110.05,7.12,4.48,FB_2753,2
69.0,203.0,4.59,36.11,19.0,118.51,6.96,4.2,RB_691,6
71.0,210.0,4.64,35.92,19.0,121.56,7.14,4.27,RB_2916,6
77.0,250.0,4.65,33.35,17.0,115.58,7.25,4.38,TE_2579,8
74.0,268.0,5.13,31.48,24.0,109.94,7.63,4.72,DL_79,1
75.0,263.0,5.01,29.27,28.0,109.36,7.73,4.61,DL_1537,1
74.0,197.0,4.55,36.37,12.0,123.98,7.03,4.2,WR_2024,9
73.0,237.0,4.72,30.94,24.0,116.57,7.38,4.41,FB_2720,2
75.0,224.0,4.73,29.58,20.0,105.23,7.35,4.46,QB_740,5
72.0,205.0,4.61,33.81,16.0,116.42,6.85,4.2,WR_1744,9
75.0,298.0,4.89,28.9,27.0,113.03,7.75,4.73,DL_2553,1
76.0,249.0,4.78,33.63,24.0,112.61,7.14,4.23,TE_2703,8
76.0,250.0,4.8,32.92,20.0,112.32,7.07,4.32,TE_2515,8
76.0,245.0,4.77,33.85,21.0,118.08,7.32,4.28,TE_7,8
75.0,258.0,4.68,33.76,16.0,112.66,7.07,4.25,TE_2743,8
73.0,243.0,4.84,30.74,20.0,116.53,7.28,4.37,FB_1262,2
72.0,213.0,4.53,36.0,19.0,117.93,6.88,4.34,S_1470,7
71.0,194.0,4.48,35.66,12.0,117.25,6.75,4.08,CB_1677,0
75.0,292.0,5.15,32.27,26.0,108.42,7.4,4.51,DL_2164,1
71.0,211.0,4.53,35.76,15.0,119.83,7.17,4.19,S_1786,7
72.0,247.0,4.79,30.76,20.0,117.21,7.52,4.2,FB_2323,2
73.0,213.0,4.5,37.28,17.0,123.31,7.19,4.15,S_694,7
73.0,209.0,4.57,34.16,16.0,120.12,6.96,4.08,S_2336,7
72.0,219.0,4.48,35.15,18.0,119.49,7.09,4.36,RB_736,6
75.0,215.0,4.57,36.2,18.0,124.67,7.13,4.24,WR_1485,9
72.0,221.0,4.47,31.61,20.0,122.85,7.19,4.2,RB_644,6
76.0,300.0,5.22,26.19,28.0,101.72,8.08,4.86,OL_1199,4
73.0,191.0,4.45,32.84,14.0,121.97,6.86,4.34,WR_1366,9
72.0,199.0,4.48,33.85,15.0,115.95,6.78,4.3,WR_937,9
73.0,220.0,4.72,32.65,21.0,106.3,7.0,4.41,QB_306,5
73.0,244.0,4.85,31.83,27.0,112.48,7.26,4.52,FB_2366,2
74.0,228.0,4.89,32.34,19.0,105.08,7.05,4.17,QB_524,5
75.0,219.0,4.88,30.46,19.0,113.33,6.94,4.25,QB_719,5
72.0,249.0,4.76,33.81,21.0,115.62,7.14,4.23,LB_1838,3
72.0,247.0,4.85,34.32,24.0,111.01,7.43,4.4,FB_2916,2
77.0,249.0,4.73,35.3,18.0,114.72,7.25,4.45,TE_1985,8
76.0,249.0,4.79,29.82,19.0,116.84,7.41,4.39,TE_304,8
71.0,196.0,4.56,38.72,16.0,122.02,6.87,4.12,CB_800,0
74.0,238.0,4.78,35.04,22.0,112.49,7.08,4.26,LB_1458,3
75.0,235.0,4.71,34.97,21.0,115.59,7.25,4.3,LB_1093,3
71.0,211.0,4.57,33.6,24.0,117.53,7.09,4.29,RB_1150,6
76.0,248.0,4.8,35.2,17.0,119.09,7.28,4.27,TE_2009,8
73.0,246.0,4.66,31.17,21.0,117.01,7.56,4.24,FB_69,2
77.0,252.0,4.74,35.17,18.0,113.05,7.17,4.33,TE_190,8
71.0,219.0,4.56,34.83,18.0,119.19,7.02,4.13,RB_1933,6
73.0,186.0,4.51,33.16,13.0,119.54,7.02,4.05,CB_2466,0
70.0,218.0,4.52,36.14,22.0,117.41,7.26,4.15,RB_1557,6
76.0,256.0,4.81,35.82,21.0,110.55,7.04,4.45,TE_2489,8
71.0,196.0,4.58,35.21,13.0,123.27,7.08,4.12,CB_75,0
75.0,193.0,4.56,34.79,13.0,115.65,6.94,4.23,WR_1102,9
73.0,212.0,4.63,35.24,14.0,120.38,6.96,4.27,S_1798,7
74.0,281.0,5.06,28.04,27.0,105.56,7.78,4.33,DL_2071,1
72.0,186.0,4.43,37.1,16.0,117.7,7.1,4.05,CB_2419,0
73.0,250.0,4.65,33.79,26.0,109.21,7.38,4.4,FB_1246,2
73.0,204.0,4.57,32.84,13.0,115.73,6.96,4.17,WR_1390,9
74.0,188.0,4.55,33.3,15.0,116.58,7.14,4.1,WR_997,9
73.0,199.0,4.55,34.64,14.0,117.62,7.22,4.08,S_2279,7
77.0,303.0,5.13,28.8,20.0,103.39,7.7,4.72,OL_482,4
76.0,308.0,5.3,28.84,22.0,98.25,7.81,4.85,OL_2021,4
77.0,247.0,4.63,34.41,19.0,108.64,7.12,4.35,TE_101,8
73.0,214.0,4.48,33.76,17.0,116.48,6.92,4.29,S_2477,7
77.0,323.0,5.34,30.04,22.0,102.19,7.6,4.94,OL_2590,4
73.0,236.0,4.75,32.21,21.0,111.56,7.12,4.32,FB_2162,2
71.0,213.0,4.52,36.5,19.0,120.24,6.77,4.23,WR_516,9
72.0,254.0,4.9,32.05,20.0,113.83,7.19,4.43,FB_275,2
73.0,219.0,4.85,31.42,22.0,111.01,7.25,4.23,QB_2873,5
72.0,250.0,4.82,33.13,19.0,111.23,7.22,4.26,FB_2364,2
75.0,250.0,4.74,32.2,27.0,110.79,7.32,4.21,LB_1504,3
77.0,255.0,4.87,34.25,20.0,116.16,7.32,4.44,TE_937,8
77.0,248.0,4.82,34.3,19.0,109.18,7.01,4.24,TE_1940,8
76.0,291.0,4.78,30.21,27.0,109.1,7.3,4.44,DL_2295,1
70.0,207.0,4.55,32.87,21.0,114.54,7.04,4.29,RB_950,6
78.0,313.0,5.15,29.37,27.0,102.69,7.84,4.77,OL_439,4
70.0,195.0,4.57,37.91,14.0,118.67,6.77,4.27,CB_1620,0
70.0,198.0,4.43,37.05,18.0,124.41,6.83,4.18,CB_2304,0
73.0,221.0,4.89,34.07,23.0,109.18,6.9,4.44,QB_1094,5
72.0,201.0,4.65,33.98,13.0,125.39,7.1,4.27,S_949,7
72.0,254.0,4.71,33.91,26.0,118.11,7.08,4.44,FB_1190,2
71.0,187.0,4.5,35.95,17.0,119.23,6.99,4.2,CB_1065,0
